MatchID,InningsNo,DeliveryID,bowler,striker,non_striker,ExtraNB,Overstep,Beamer,Fielder,Bouncer,MultiBounce,KnockStumps,OutsidePitch,WrongCall
2019-04-28-kolkata-knight-riders-mumbai-indians,1st innings,18.4,JJ Bumrah,KD Karthik,AD Russell,1,1,,,,,,,
2019-04-29-sunrisers-hyderabad-kings-xi-punjab,2nd innings,6.1,Abhishek Sharma,KL Rahul,MA Agarwal,1,1,,,,,,,
2019-04-30-royal-challengers-bangalore-rajasthan-royals,1st innings,4.1,O Thomas,H Klaasen,P Negi,1,1,,,,,,,
2019-05-01-chennai-super-kings-delhi-capitals,1st innings,18.6,CH Morris,MS Dhoni,AT Rayudu,1,0,1,,,,,,
2019-05-02-mumbai-indians-sunrisers-hyderabad,1st innings,16.1,Basil Thampi,Q de Kock,KA Pollard,1,0,1,,,,,,
2019-05-04-sunrisers-hyderabad-royal-challengers-bangalore,1st innings,19.5,UT Yadav,KS Williamson,B Kumar,1,1,,,,,,,1
2019-05-05-kolkata-knight-riders-mumbai-indians,1st innings,4.3,JJ Bumrah,CA Lynn,Shubman Gill,1,0,1,,,,,,
2019-05-05-kolkata-knight-riders-mumbai-indians,2nd innings,2.1,S Sandeep Warrier,Q de Kock,RG Sharma,1,0,0,0,0,0,1,,
2019-05-07-chennai-super-kings-mumbai-indians,1st innings,3.1,J Yadav,SK Raina,SR Watson,1,1,,,,,,,
2019-05-07-chennai-super-kings-mumbai-indians,1st innings,10.4,SL Malinga,AT Rayudu,M Vijay,1,1,,,,,,,
2019-05-07-chennai-super-kings-mumbai-indians,1st innings,19.1,JJ Bumrah,MS Dhoni,AT Rayudu,1,1,,,,,,,
2019-05-08-sunrisers-hyderabad-delhi-capitals,1st innings,19.4,KMA Paul,Mohammad Nabi,DJ Hooda,1,1,,,,,,,
2019-05-10-delhi-capitals-chennai-super-kings,1st innings,14.3,DJ Bravo,RR Pant,SE Rutherford,1,0,1,,,,,,
2020-09-19-mumbai-indians-chennai-super-kings,2nd innings,5.6,JJ Bumrah,AT Rayudu,F du Plessis,1,1,,,,,,,
2020-09-20-delhi-capitals-kings-xi-punjab,1st innings,14.4,Mohammed Shami,AR Patel,MP Stoinis,1,0,0,0,1,,,,
